METATRYP_taxa_name,genome_name,ncbi_id,img_genome_id,tax_domain,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species
Synechococcus_sp_WH7803,Synechococcus sp. WH7803,32051,640427149,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH7805,Synechococcus sp. WH7805,59931,638341215,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Synechococcus_sp_WH8102,Synechococcus sp. WH8102,84588,637000314,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Unclassified Synechococcus
Thalassobium_sp_R2A62,Thalassobium sp. R2A62,633131,647533238,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobium,Unclassified Thalassobium
Thermococcus_sp_AM4,Thermococcus sp. AM4,246969,2511231053,Bacteria,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Unclassified Thermococcus
Trichodesmium_erythraeum_IMS101,Trichodesmium erythraeum IMS101,203124,637000329,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum
Trichodesmium_thiebautii_H9-4,Trichodesmium thiebautii H9-4,1045877,2627854162,Archaea,Cyanobacteria,Unclassified Cyanobacteria,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium thiebautii
Vibrio_alginolyticus_12G01,Vibrio alginolyticus 12G01,314288,638341222,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
Vibrio_campbellii_AND4,Vibrio campbellii AND4,314289,641380451,Archaea,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified Vibrio
Vibrio_fischeri_MJ11,Vibrio fischeri MJ11,388396,642555167,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri
Vibrio_parahaemolyticus_16,Vibrio parahaemolyticus 16,391586,647533245,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified Vibrio
Vibrio_sp_MED222,Vibrio sp. MED222,314290,638341230,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified Vibrio
Vibrio_splendidus_12B01,Vibrio splendidus 12B01,314291,638341231,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
